,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
88,Ivica Zubac\zubaciv01,19,LAL,NBA,2016-17,38,11,16,3.3,6.3,3.3,6.2,0,0.1,0.8,1.3,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,0.529,0.536,0,0.529,0.653,0.547
89,Cliff Alexander\alexacl01,20,POR,NBA,2015-16,8,0,4.5,0.6,1.3,0.6,1.3,0,0,0,0,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3,0.5,0.5,,0.5,,0.5
90,Justin Anderson\anderju01,22,DAL,NBA,2015-16,55,9,11.8,1.3,3.2,0.9,1.7,0.4,1.5,0.8,1,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,0.406,0.533,0.265,0.469,0.8,0.522
91,Thanasis Antetokounmpo\antetth01,23,NYK,NBA,2015-16,2,0,3,1.5,2,1.5,1.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,1,3,0.75,1,0,0.75,,0.75
92,Keith Appling\applike01,23,ORL,NBA,2015-16,5,0,5.4,0.4,1.6,0.4,1,0,0.6,0.4,0.4,0,0.2,0.2,0.2,0.2,0,0.6,1,1.2,0.25,0.4,0,0.25,1,0.338
93,Nemanja Bjelica\bjeline01,27,MIN,NBA,2015-16,60,0,17.9,1.8,3.9,1,1.8,0.8,2.1,0.7,0.9,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1,0.468,0.564,0.384,0.57,0.727,0.594
94,Devin Booker\bookede01,19,PHO,NBA,2015-16,76,51,27.7,4.8,11.4,3.5,7.6,1.3,3.8,2.8,3.4,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8,0.423,0.464,0.343,0.48,0.84,0.535
95,Anthony Brown\brownan02,23,LAL,NBA,2015-16,29,11,20.7,1.3,4.3,0.7,1.9,0.7,2.4,0.6,0.7,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4,0.31,0.339,0.286,0.389,0.85,0.427
96,Willie Cauley-Stein\caulewi01,22,SAC,NBA,2015-16,66,39,21.4,2.9,5.1,2.9,5.1,0,0,1.2,1.9,2,3.3,5.3,0.6,0.7,1,0.7,2.2,7,0.563,0.567,0,0.563,0.648,0.588
97,Rakeem Christmas\chrisra01,24,IND,NBA,2015-16,1,0,6,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,4,1,1,,1,,1
